name,longitude,latitude,postcode,suburb
MOLIAGUL RECREATION GROUND,143.662369999743,-36.7490099990125,3472,Moliagul
SUNSHINE GOLF COURSE,144.774730000213,-37.7930399992229,3026,Derrimut
SUNSHINE RESERVE,145.008479999989,-38.2863599987647,3934,Mount Martha
AYSONS RESERVE,144.669299999541,-36.4593699989015,3558,Burnewang
PARKER RESERVE,144.967269999803,-37.7225599992808,3058,Coburg North
H E PARKER RESERVE,145.254849999699,-37.8354099993102,3135,Heathmont
PARKFIELD RESERVE,145.181809999451,-37.9622299988429,3174,Noble Park
ORBOST RECREATION RESERVE,148.45776000017,-37.7042999994839,3888,Orbost
REDESDALE RECREATION RESERVE,144.530730000552,-37.0221599990253,3444,Redesdale
PRICE PARK,145.08657999992,-37.7362299994608,3084,Viewbank
PRIDMORE PARK,145.015100000129,-37.8159799992964,3122,Hawthorn
PRIMROSE PARK PICNIC AREA,146.280980000077,-38.3962399992116,3870,Boolarra
PRINCES PARK,144.962000000429,-37.7837599987743,3054,Carlton North
PRINCES PARK,145.023350000032,-37.8939399989246,3162,Caulfield South
PROGRESS PARK,144.981610000173,-36.3958699990081,3624,Girgarre
PROGRESS PARK,146.889309999997,-38.6059599992227,3874,Mcloughlins Beach
NUG NUG RESERVE,146.705029999576,-36.6611099990201,3737,Nug Nug
NORTHERN SUBURBS PARK RESERVE,145.036819999937,-37.710539999197,3083,Bundoora
CARISBROOK SHOWGROUNDS,143.797649999998,-37.0387399990122,3464,Carisbrook
LINTON RECREATION RESERVE,143.56792000015,-37.6834599988516,3360,Linton
HADDON RECREATION RESERVE,143.721669999879,-37.5875799990864,3351,Haddon
BULBAN RESERVE,144.49066000044,-37.9605899989479,3211,Little River
BULL CREEK PICNIC AREA,145.574589999545,-37.4256799991765,3717,Murrindindi
CRINIGAN ROAD RESERVE,146.431259999804,-38.2203999990743,3840,Morwell
CROFTS RESERVE,144.833260000071,-37.827549999447,3025,Altona North
BENDIGO WHIPSTICK FOREST PARK,144.406810000446,-36.4970699990479,3570,Kamarooka
BENNETT AVENUE RESERVE,145.14819999953,-37.8592899991125,3149,Mount Waverley
ORCHID GARDEN,143.563199999925,-36.3228999988675,3525,Buckrabanyule
ORNAMENTAL LAKES PARK,142.168489999973,-34.1846799987768,3500,Mildura
OTWAY NATIONAL PARK,143.54959000015,-38.7373499992587,3238,Glenaire
NIRRANDA SOUTH RECREATION RESERVE,142.801809999779,-38.5362399991734,3268,Nirranda South
ARDMONA RECREATION RESERVE,145.29986000019,-36.3846599987364,3629,Ardmona
FRANKLIN CHAPLIN RESERVE,143.875420000183,-36.8353999992596,3463,Laanecoorie
BRAZENER PARK,143.932090000027,-37.5526299990362,3352,Gong Gong
BREE PARK,142.028640000554,-37.7377799991085,3300,Hamilton
BULN BULN RECREATION RESERVE,145.936199999844,-38.0974699992149,3821,Buln Buln
BUNARONG PARK,145.157400000534,-38.1574299987925,3199,Frankston
BUNDALAGUAH RECREATION RESERVE,147.02247000029,-38.0264099991842,3851,Bundalaguah
TURNER ROAD RESERVE,145.055140000425,-37.9478999990887,3190,Highett
BUCKINGHAM PARK,144.917639999799,-38.3778999989672,3939,Rosebud
BUCKLEY NATURE RESERVE,145.090420000393,-38.3412399995063,3926,Merricks North
BUCKLEY PARK,144.896599999671,-37.7442499989717,3040,Essendon
BRUCE COMBEN RESERVE,144.766079999473,-37.8725699987051,3028,Altona Meadows
KERGER RESERVE,144.392920000455,-38.2962399993555,3227,Breamlea
KEVIN SHORTEN RESERVE,144.878009999729,-37.7941599988883,3012,West Footscray
KEVIN WHEELAHAN GARDENS,144.838479999864,-37.7862399991588,3020,Sunshine
JOHNSON PARK,145.009480000141,-37.7761799994043,3070,Northcote
ELSTERNWICK PARK,144.99362999963,-37.8899399992064,3186,Brighton
ELTHAM LOWER PARK,145.141779999864,-37.7347199986986,3095,Eltham
ELTHAM NORTH RESERVE,145.15240000037,-37.6949199989559,3095,Eltham
YARRAMBAT PARK,145.131990000428,-37.6223399988113,3091,Yarrambat
WYETH MCNAMARA PARK,145.728199999563,-38.6356799991087,3996,Inverloch
WYLIE RESERVE,144.944080000365,-37.7714899987263,3055,Brunswick West
WYNDHAM VALE RESERVE,144.623670000448,-37.8992799991206,3024,Wyndham Vale
WYUNA RECREATION RESERVE,145.055360000504,-36.1962999987618,3620,Wyuna
NULLAWIL RECREATION RESERVE,143.17405000033,-35.8526399991158,3529,Nullawil
EUREKA HISTORIC PARK,143.886260000263,-37.5653999994234,3350,Ballarat East
EUREKA STOCKADE,143.88379000026,-37.564949999101,3350,Eureka
BARRY POWELL ATHLETICS TRACK,145.230419999854,-37.9845699992924,3175,Dandenong
O'POSSUM HISTORIC GOLDFIELD,143.622369999506,-36.4206799988979,3518,Wedderburn
OAKLANDS PARK,142.199590000441,-36.7028999994578,3400,Horsham
NARRAPORT SCHOOL RESERVE,143.335149999677,-35.8776299991158,3527,Towaninny
CARRUM DOWNS RECREATION RESERVE,145.188199999551,-38.0851299988107,3201,Carrum Downs
PINK LAKES PARK,141.766530000255,-35.0242899993114,,
PIONEER PARK,143.823460000458,-37.5192099991083,3355,Wendouree
FULTON RESERVE,145.102369999984,-38.1873499988139,3930,Mount Eliza
FYANS PARK RESERVE,144.322370000151,-38.1587399988892,3220,Newtown
FOSTER RECREATION RESERVE,146.204819999429,-38.655829998976,3960,Foster
SALE PRIMARY SCHOOL,145.189870000189,-38.2970699987182,3915,Hastings
J A  BABINGTON PARK,145.189870000189,-38.2970699987182,3915,Hastings
BEAUFORT RECREATION RESERVE,143.3804200004,-37.4398499993124,3373,Beaufort
