name,longitude,latitude,postcode,suburb
HILLCREST SECONDARY COLLEGE,144.91236999988,-37.6812399992014,3047,Broadmeadows
WANTIRNA HIGH SCHOOL,145.229980000077,-37.8575799988749,3152,Wantirna
WANTIRNA COLLEGE,145.229980000077,-37.8575799988749,3152,Wantirna
DOVETON HIGH SCHOOL,145.238759999846,-37.9790099995219,3177,Doveton
JOSEPH BANKS SECONDARY COLLEGE,145.238759999846,-37.9790099995219,3177,Doveton
FERNTREE GULLY TECHNICAL SCHOOL,145.302639999639,-37.8940099992762,3156,Upper Ferntree Gully
GLENFERN SECONDARY COLLEGE,145.302639999639,-37.8940099992762,3156,Upper Ferntree Gully
WHEELERS HILL HIGH SCHOOL,145.18175000051,-37.9101099993679,3150,Wheelers Hill
WHEELERS HILL SECONDARY COLLEGE,145.18175000051,-37.9101099993679,3150,Wheelers Hill
YALLOURN HIGH SCHOOL,146.305980000302,-38.1717899993139,3825,Newborough
YALLOURN SECONDARY COLLEGE,146.305980000302,-38.1717899993139,3825,Newborough
FAWKNER SECONDARY COLLEGE,144.971859999528,-37.702699999126,3060,Fawkner
FAWKNER HIGH SCHOOL,144.971859999528,-37.702699999126,3060,Fawkner
WARRNAMBOOL HIGH SCHOOL,142.498760000519,-38.3770699992463,3280,Warrnambool
WARRNAMBOOL SECONDARY COLLEGE,142.498760000519,-38.3770699992463,3280,Warrnambool
COBURG NORTH SECONDARY COLLEGE,144.952090000373,-37.7337399994911,3058,Coburg
COBURG TECHNICAL SCHOOL,144.952090000373,-37.7337399994911,3058,Coburg
KEYSBOROUGH TECHNICAL SCHOOL,145.1605600003,-37.9819299988123,3173,Keysborough
TRARALGON HEIGHTS SECONDARY COLLEGE,146.531259999977,-38.1909599987941,3844,Traralgon
TRARALGON TECHNICAL SCHOOL,146.531259999977,-38.1909599987941,3844,Traralgon
BROADFORD SECONDARY COLLEGE,145.040039999882,-37.2043599990689,3658,Broadford
BROADFORD HIGH SCHOOL,145.040039999882,-37.2043599990689,3658,Broadford
LYNDALE HIGH SCHOOL,145.206720000226,-37.9587499988118,3175,Dandenong North
LYNDALE SECONDARY COLLEGE,145.206720000226,-37.9587499988118,3175,Dandenong North
KEILOR HEIGHTS HIGH SCHOOL,144.872090000144,-37.7409599993884,3033,Keilor East
KEILOR HEIGHTS SECONDARY COLLEGE,144.872090000144,-37.7409599993884,3033,Keilor East
FERNTREE GULLY SECONDARY COLLEGE,145.285140000444,-37.8801299989733,3156,Ferntree Gully
FERNTREE GULLY HIGH SCHOOL,145.285140000444,-37.8801299989733,3156,Ferntree Gully
YARRAWONGA HIGH SCHOOL,146.00680999992,-36.0217899994439,3730,Yarrawonga
YARRAWONGA SECONDARY COLLEGE,146.00680999992,-36.0217899994439,3730,Yarrawonga
NUMURKAH SECONDARY COLLEGE,145.446280000018,-36.0799299990716,3636,Numurkah
NUMURKAH HIGH SCHOOL,145.446280000018,-36.0799299990716,3636,Numurkah
BRAUER SECONDARY COLLEGE,142.458929999746,-38.3586999989556,3280,Warrnambool
WARRNAMBOOL TECHNICAL SCHOOL,142.458929999746,-38.3586999989556,3280,Warrnambool
CRANBOURNE SECONDARY COLLEGE,145.286140000477,-38.1075799991405,3977,Cranbourne
CRANBOURNE HIGH SCHOOL,145.286140000477,-38.1075799991405,3977,Cranbourne
PARKDALE SECONDARY COLLEGE,145.093510000563,-37.9902899987118,3195,Mordialloc
PARKDALE HIGH SCHOOL,145.093510000563,-37.9902899987118,3195,Mordialloc
ORBOST HIGH SCHOOL,148.466360000283,-37.7040899994874,3888,Orbost
ORBOST SECONDARY COLLEGE,148.466360000283,-37.7040899994874,3888,Orbost
GLEN WAVERLEY HIGH SCHOOL,145.162110000474,-37.8780799991656,3150,Glen Waverley
GLEN WAVERLEY SECONDARY COLLEGE,145.162110000474,-37.8780799991656,3150,Glen Waverley
SUNBURY POST PRIMARY SCHOOL,144.704490000495,-37.5839899993716,3429,Sunbury
SUNBURY DOWNS SECONDARY COLLEGE,144.704490000495,-37.5839899993716,3429,Sunbury
PRESTON GIRLS HIGH SCHOOL,145.006809999758,-37.7417899991144,3072,Preston
PRESTON GIRLS SECONDARY COLLEGE,145.006809999758,-37.7417899991144,3072,Preston
WARRAGUL SECONDARY COLLEGE,145.922369999608,-38.1651299992286,3820,Warragul
WARRAGUL TECHNICAL SCHOOL,145.922369999608,-38.1651299992286,3820,Warragul
TORMORE SECONDARY COLLEGE,145.280140000124,-37.8576299994959,3155,Boronia
BORONIA HIGH SCHOOL,145.280140000124,-37.8576299994959,3155,Boronia
TOTTENHAM COMMUNITY SECONDARY COLLEGE,144.85513999992,-37.7903999987634,3019,Braybrook
TOTTENHAM TECHNICAL SCHOOL,144.85513999992,-37.7903999987634,3019,Braybrook
MURTOA SECONDARY COLLEGE,142.475420000023,-36.6256799991889,3390,Murtoa
MURTOA HIGH SCHOOL,142.475420000023,-36.6256799991889,3390,Murtoa
PAKENHAM SECONDARY COLLEGE,145.471010000261,-38.0689799993528,3810,Pakenham
PAKENHAM HIGH TECHNICAL SCHOOL,145.471010000261,-38.0689799993528,3810,Pakenham
SAINT ALBANS SECONDARY COLLEGE,144.808419999901,-37.7455199994402,3021,Saint Albans
SAINT ALBANS HIGH SCHOOL,144.808419999901,-37.7455199994402,3021,Saint Albans
BRANDON PARK SECONDARY COLLEGE,145.165420000133,-37.9056799990082,3150,Wheelers Hill
BRANDON PARK TECHNICAL SCHOOL,145.165420000133,-37.9056799990082,3150,Wheelers Hill
WELLINGTON HIGH SCHOOL,145.169379999565,-37.9344499987124,3170,Mulgrave
WELLINGTON SECONDARY COLLEGE,145.169379999565,-37.9344499987124,3170,Mulgrave
SAINT ALBANS TECHNICAL SCHOOL,144.78458999978,-37.7403999992881,3021,Saint Albans
JAMIESON PARK SECONDARY COLLEGE,144.78458999978,-37.7403999992881,3021,Saint Albans
BRIGHTON BAY SECONDARY COLLEGE,144.99652999972,-37.9028999988805,3186,Brighton
BRIGHTON TECHNICAL SCHOOL,144.99652999972,-37.9028999988805,3186,Brighton
Mooroopna High School,145.351809999463,-36.3817699992688,3629,Mooroopna
Mooroopna Secondary College,145.351809999463,-36.3817699992688,3629,Mooroopna
WESTALL HIGH SCHOOL,145.136580000491,-37.9402999991936,3169,Clayton South
WESTALL SECONDARY COLLEGE,145.136580000491,-37.9402999991936,3169,Clayton South
WARRNAMBOOL NORTH SECONDARY COLLEGE,142.500419999529,-38.3778999989883,3280,Warrnambool
WARRNAMBOOL TECHNICAL SCHOOL,142.500419999529,-38.3778999989883,3280,Warrnambool
MOOROOLBARK TECHNICAL SCHOOL,145.317779999785,-37.781379998691,3138,Mooroolbark
GISBORNE HIGH TECHNICAL SCHOOL,144.584780000427,-37.4980999994521,3437,Gisborne
GISBORNE SECONDARY COLLEGE,144.584780000427,-37.4980999994521,3437,Gisborne
KEALBA HIGH SCHOOL,144.820839999882,-37.7319299990852,3021,Kealba
HASTINGS HIGH SCHOOL,145.174029999541,-38.3090099990498,3915,Hastings
HASTINGS SECONDARY COLLEGE,145.174029999541,-38.3090099990498,3915,Hastings
THOMASTOWN SECONDARY COLLEGE,145.001940000319,-37.6786999986952,3074,Thomastown
THOMASTOWN HIGH SCHOOL,145.001940000319,-37.6786999986952,3074,Thomastown
CRAIGIEBURN SECONDARY COLLEGE,144.935960000479,-37.6087399986569,3064,Craigieburn
CRAIGIEBURN POST PRIMARY SCHOOL,144.935960000479,-37.6087399986569,3064,Craigieburn
GEELONG TECHNICAL SCHOOL,144.32430999973,-38.1848499989503,3216,Belmont
SOUTH BARWON SECONDARY COLLEGE,144.32430999973,-38.1848499989503,3216,Belmont
FOSTER CONSOLIDATED SCHOOL,146.197420000538,-38.6517199989574,3960,Foster
SOUTH GIPPSLAND SECONDARY COLLEGE,146.197420000538,-38.6517199989574,3960,Foster
DEER PARK SECONDARY COLLEGE,144.766510000389,-37.759039998784,3023,Deer Park
DEER PARK HIGH SCHOOL,144.766510000389,-37.759039998784,3023,Deer Park
LEONGATHA HIGH SCHOOL,145.961250000295,-38.4786699990902,3953,Leongatha
LEONGATHA SECONDARY COLLEGE,145.961250000295,-38.4786699990902,3953,Leongatha
BEAUFORT SECONDARY COLLEGE,143.382489999674,-37.4388299995184,3373,Beaufort
BEAUFORT HIGH SCHOOL,143.382489999674,-37.4388299995184,3373,Beaufort
OAKLEIGH TECHNICAL SCHOOL,145.075419999965,-37.905679998757,3166,Hughesdale
OAKLEIGH SECONDARY COLLEGE,145.075419999965,-37.905679998757,3166,Hughesdale
NEWLANDS HIGH SCHOOL,144.975139999867,-37.7358499987462,3058,Coburg
NEWLANDS SECONDARY COLLEGE,144.975139999867,-37.7358499987462,3058,Coburg
MARIBYRNONG HIGH SCHOOL,144.888239999825,-37.7792999993672,3032,Maribyrnong
MARIBYRNONG SECONDARY COLLEGE,144.888239999825,-37.7792999993672,3032,Maribyrnong
MOOMBA PARK SECONDARY COLLEGE,144.963759999944,-37.6962399989086,3060,Fawkner
FAWKNER TECHNICAL SCHOOL,144.963759999944,-37.6962399989086,3060,Fawkner
KEILOR DOWNS POST PRIMARY SCHOOL,144.811190000347,-37.7154999992415,3038,Keilor Downs
KEILOR DOWNS SECONDARY COLLEGE,144.811190000347,-37.7154999992415,3038,Keilor Downs
MATTHEWS FLINDERS GIRLS HIGH SCHOOL,144.353209999699,-38.1495699987871,3220,Geelong
MATTHEW FLINDERS GIRLS SECONDARY COLLEGE,144.353209999699,-38.1495699987871,3220,Geelong
KARINGAL HIGH SCHOOL,145.146809999898,-38.1403999990851,3199,Frankston
KARINGAL SECONDARY COLLEGE,145.146809999898,-38.1403999990851,3199,Frankston
CHANDLER HIGH SCHOOL,145.159840000311,-37.9669999994121,3174,Springvale South
PEMBROKE SECONDARY COLLEGE,145.324589999685,-37.7998499990133,3137,Kilsyth
PEMBROKE HIGH SCHOOL,145.324589999685,-37.7998499990133,3137,Kilsyth
