name,longitude,latitude
KATH ROBERTS RESERVE,145.37268000032,-38.0442299994399
KATUNGA RECREATION RESERVE,145.452710000461,-35.9973999994457
TALLANGATTA RECREATION GROUND,147.173479999737,-36.2178999990046
TALLANGATTA VALLEY RECREATION RESERVE,147.39152999992,-36.2873499986993
TALLYGAROOPNA RECREATION RESERVE,145.4374500005,-36.2410599993895
MALAHANG PARADE RESERVE,145.049030000339,-37.7403999992412
MURRINDINDI FALLS PICNIC AREA,145.575980000244,-37.4542899992604
MURRINDINDI SCENIC RESERVE,145.576810000041,-37.4323499993658
MONBULK RECREATION & PICNIC RESERVE,145.380370000154,-37.8847199987189
KALLISTA NATURAL RESERVE,145.380370000154,-37.8847199987189
EVAN PARK,145.460419999741,-37.6115099989018
EVELYN RESERVE,145.131260000115,-37.9198499994734
SEAFORD NORTH RESERVE,145.129789999761,-38.1016599990527
JUNCTION PICNIC RESERVE,146.404259999485,-38.3442099989158
SEAL ROCKS STATE FAUNAL RESERVE,145.099310000407,-38.5262399988989
SANDY POINT PICNIC GROUND,149.704029999926,-37.5092899993364
RHYMNEY CRICKET GROUND,142.819090000141,-37.2340199989767
RICH AVON RECREATION RESERVE,142.887920000309,-36.48762999907
SEACOMBE PARK,142.239870000089,-38.37650999885
CHIRNSIDE PARK,144.652149999949,-37.9049899993789
CHITTICK PARK,145.147110000107,-37.028379999272
RAGLAN RECREATION RESERVE,143.354519999455,-37.3643699989379
RAY MIDDLETON RESERVE,142.034030000285,-37.7340099992191
JOHN W GARDNER RESERVE,143.570150000259,-38.6367899992376
BEECH FOREST C.W.A. PUBLIC RECREATION RESERVE,143.570150000259,-38.6367899992376
E JOHNSON RESERVE,142.477600000251,-38.3902999987595
APEX PARK,143.884849999455,-35.6869099991986
ARGYLE SQUARE,144.965840000547,-37.8027399993145
SHERBROOKE FOREST PARK,145.363480000383,-37.8937399986517
CHARLES GRIMES RESERVE,144.906529999869,-37.8048499992523
PLENTY PARK,145.119030000008,-37.6695699993159
PLUMRIDGE PARK,144.94958999997,-37.7323499987455
BOMJINNA PICNIC AREA,142.612920000576,-37.2715099986768
BICENTENNARY COMMUNITY PARK,142.029030000521,-36.4567899989414
C BATES RESERVE,146.344870000281,-38.1578999987492
BATMAN PARK,144.992739999466,-37.768059999515
BATMAN PARK,144.956609999618,-37.8217899992523
F W SHORE RESERVE,144.943479999582,-37.7467899993067
SHRUBLANDS CREEK RESERVE,145.08280000034,-37.8221699988309
SID BAKER RESERVE,144.771490000216,-38.3711499988492
SILCOCK RESERVE,145.288430000557,-37.788099998856
SILKSTONE PARK,145.829030000519,-38.4420699991802
NARRE WARREN EAST RESERVE,145.360979999465,-37.962349999474
NATHALIA RECREATION RESERVE,145.213759999879,-36.0528999989885
NATIONAL RHODODENDRON GARDEN,145.37178000011,-37.8466299994708
MYRTLE GULLY RESERVE,145.639870000317,-37.7126299991376
PATTERSON PARK,142.026109999879,-37.7328499986862
G G PAYNE RESERVE,142.438349999763,-38.3570499987059
PEDRINA PARK,142.030149999978,-37.7243499992512
FOOTSCRAY PARK,144.904699999698,-37.7934299989944
KINGFISHER PICNIC AREA,141.468479999886,-37.9328999991387
REES PARK,144.5088200002,-37.9792899994774
REEVES BEACH PICNIC AREA,146.951260000027,-38.5762399992739
RAMSDEN RESERVE,145.002370000521,-37.7937399993636
RAWS RESERVE,145.074760000465,-38.422649999445
TOORONGA PARK,145.040949999499,-37.8473899986407
ALTONA SPORTS PARK,144.852639999496,-37.8631799986813
AMINYA RESERVE,145.07832999958,-37.7126099988338
AMSTEL GOLF CLUB,145.255979999779,-38.1131799992242
AGNES SMITH RESERVE,146.103760000439,-38.3623499994622
REABURN RESERVE,144.951169999854,-37.765429999274
STRATHMERTON RECREATION RESERVE,145.477029999699,-35.9282299989102
STRINGER ROAD RESERVE,144.764399999542,-38.3617499990274
STUDIO PARK,145.179169999603,-38.1465299986397
