S/T name_x,SA2 code,SA2 name,POSTCODE
Victoria,214021383,Point Nepean,3944
Victoria,214021384,Rosebud - McCrae,3940
Victoria,214021385,Somerville,3933
Victoria,214021592,Mornington - West,3931
Victoria,215011386,Ararat,3377
Victoria,215011387,Ararat Surrounds,3381
Victoria,215011388,Horsham,3401
Victoria,215011389,Horsham Surrounds,3409
Victoria,215011390,Nhill Region,3424
Victoria,215011391,St Arnaud,3480
Victoria,215011392,Stawell,3387
Victoria,215011393,West Wimmera,3413
Victoria,215011394,Yarriambiack,3491
Victoria,215021395,Irymple,3501
Victoria,215021396,Merbein,3505
Victoria,215021398,Mildura Surrounds,3533
Victoria,215021399,Red Cliffs,3496
Victoria,215021470,Mildura - South,3505
Victoria,215031400,Buloke,3544
Victoria,215031401,Gannawarra,3581
Victoria,215031402,Kerang,3579
Victoria,215031403,Robinvale,3549
Victoria,215031404,Swan Hill,3585
Victoria,215031405,Swan Hill Surrounds,3599
Victoria,216011406,Echuca,3639
Victoria,216011407,Kyabram,3622
Victoria,216011408,Lockington - Gunbower,3573
Victoria,216011409,Rochester,3622
Victoria,216011410,Rushworth,3624
Victoria,216021411,Cobram,3644
Victoria,216021412,Moira,3730
Victoria,216021413,Numurkah,3644
Victoria,216021414,Yarrawonga,3730
Victoria,216031415,Mooroopna,3629
Victoria,216031416,Shepparton - North,3631
Victoria,216031418,Shepparton Surrounds - East,3669
Victoria,216031419,Shepparton Surrounds - West,3631
Victoria,216031594,Shepparton - South East,3631
Victoria,217011420,Glenelg (Vic.),3315
Victoria,217011421,Hamilton (Vic.),3300
Victoria,217011422,Portland,3305
Victoria,217011423,Southern Grampians,3407
Victoria,217031473,Colac Surrounds,3329
Victoria,217031474,Corangamite - North,3361
Victoria,217031475,Corangamite - South,3269
Victoria,217031476,Otway,3266
Victoria,217041477,Moyne - East,3379
Victoria,217041478,Moyne - West,3304
Victoria,217041479,Warrnambool - North,3281
Victoria,217041480,Warrnambool - South,3280
