postcode,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,estimated_2024_population,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile,ERP_2023_change_percentage(%),population_density_2023
3699,8111,8110,8073,7995,7940,7874,7838,7826,7813,7841,7875,7970,8052,8120,8179,8299,8400,8529,8597,8739,8857,8905,8915,10,0,-62,72,4253.7,8924,1020.58,293.0,6.0,57.0,8903.0,1010.81,256.0,5.0,50.0,0.11,2.1
3707,6204,6185,6137,6124,6091,6083,6055,6035,6038,5989,5890,5910,5931,5952,5974,6014,6045,6078,6117,6142,6156,6168,6213,45,-3,22,26,6668.9,6256,969.86,166.0,4.0,33.0,6196.0,1006.08,243.0,5.0,48.0,0.72,0.93
3714,6263,6248,6250,6251,6267,6271,6299,6279,6250,6219,6219,6270,6298,6349,6404,6474,6550,6646,6687,6690,6771,6794,6836,42,-42,45,39,2119.0,6877,953.43,132.0,3.0,26.0,6828.0,983.78,173.0,4.0,34.0,0.61,3.23
3717,3497,3547,3563,3552,3540,3573,3563,3537,3477,3428,3446,3448,3469,3496,3534,3606,3698,3803,3907,4019,4142,4257,4297,40,2,25,13,1474.3,4336,973.85,173.0,4.0,34.0,4182.0,1000.61,226.0,5.0,44.0,0.93,2.91
3722,6907,6982,7037,7158,7408,7601,7707,7865,8026,8144,8202,8357,8533,8652,8788,8935,9168,9440,9720,10116,10463,10683,10905,222,1,125,96,3927.9,11134,982.64,195.0,4.0,38.0,10517.0,1018.9,282.0,6.0,55.0,2.04,2.78
3730,5484,5459,5603,5749,5971,6291,6491,6651,6831,6981,7133,7345,7517,7694,7856,8021,8172,8297,8418,8508,8593,8727,8812,85,-52,112,25,94.7,8900,920.55,55.0,2.0,11.0,8661.0,975.63,150.0,3.0,30.0,0.96,93.05
3737,4714,4712,4721,4722,4734,4733,4722,4682,4642,4601,4560,4594,4623,4651,4689,4742,4738,4734,4736,4734,4717,4696,4663,-33,-16,-37,20,553.4,4630,941.24,105.0,3.0,21.0,4745.0,988.99,188.0,4.0,37.0,-0.71,8.43
3747,4216,4208,4202,4190,4184,4180,4197,4214,4230,4260,4289,4354,4412,4463,4541,4632,4735,4801,4872,4936,4953,4912,4935,23,-13,19,17,371.3,4960,1036.61,320.0,7.0,62.0,4986.0,1015.26,268.0,6.0,53.0,0.47,13.29
3749,3997,4062,4142,4189,4261,4335,4329,4349,4410,4435,4433,4461,4489,4511,4536,4578,4662,4778,4906,5052,5189,5329,5455,126,22,91,13,708.2,5586,1025.87,304.0,6.0,59.0,5221.0,1069.41,436.0,9.0,85.0,2.31,7.7
3750,389,356,338,348,323,346,355,376,418,424,528,1827,3387,5149,7204,9493,11911,14544,17309,20975,24807,28244,30758,2514,593,1452,469,53.9,33495,1011.64,274.0,6.0,53.0,24407.0,1050.64,386.0,8.0,76.0,8.17,570.65
3752,5329,6767,8576,9946,11297,12573,14006,15714,17370,20024,21658,22941,23695,24192,24692,25233,25565,25719,25821,25798,25227,25114,25467,353,144,-193,402,21.4,25823,995.59,228.5,5.0,44.5,24987.0,1055.07,389.5,8.0,76.0,1.39,1190.05
