id,promoType,price,hasVideo,agentNames,brandName,addressStreet,addressSuburb,addressState,addressPostcode,addressLat,addressLng,num_bath,type,formatted,isRural,landSize,Retirement,min_distance_to_university,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_primary_school,min_distance_to_park,min_walking_distance_to_station,nearest_station
17190827,premiumplus,600,False,Kim Te,Motion Property,911/2 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
17195887,standardpp,585,False,Property Management Department,P Di Natale Real Estate,20 Southampton Street,FOOTSCRAY,VIC,3011,-37.79526,144.886,2.0,House,House,False,0.0,False,1.7,2.99,0.99,0.25,0.1,0.811,West Footscray Railway Station (West Footscray)
17196214,premiumplus,500,True,Kim Te,Motion Property,1508/2 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
17201268,premiumplus,520,False,Kim Te,Motion Property,1307/1 Joseph Road,FOOTSCRAY,VIC,3011,-37.798725,144.91014,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.82,4.58,1.55,0.64,0.28,1.123,Footscray Railway Station (Footscray)
17203936,elite,450,False,Rayna Hao,AREAL PROPERTY MELBOURNE,1/44 Geelong Road,FOOTSCRAY,VIC,3011,-37.797005,144.89514,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.48,3.18,0.49,0.63,0.74,0.885,Middle Footscray Railway Station (Footscray)
8672749,standard,1190,False,Residences Department,Corporate Keys Australia,100/600 Epsom Road,FLEMINGTON,VIC,3031,-37.78865,144.9214,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,2.36,4.96,0.67,0.97,0.49,0.829,Newmarket Railway Station (Flemington)
15671365,standard,700,False,,Ray White CHK,133 Rosslyn Street,WEST MELBOURNE,VIC,3003,-37.809013,144.95024,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.82,2.75,0.64,0.49,0.17,0.823,North Melbourne Railway Station (West Melbourne)
8549284,elite,350,True,Huey Lim,Student Housing Australia,304/133 Droop Street,FOOTSCRAY,VIC,3011,-37.792564,144.89342,1.0,Studio,Studio,False,0.0,False,0.74,2.48,0.31,1.12,0.47,1.424,Middle Footscray Railway Station (Footscray)
8639764,elite,355,False,Huey Lim,Student Housing Australia,309/133 Droop Street,FOOTSCRAY,VIC,3011,-37.792564,144.89342,1.0,Studio,Studio,False,0.0,False,0.74,2.48,0.31,1.12,0.47,1.424,Middle Footscray Railway Station (Footscray)
8639795,elite,355,False,Huey Lim,Student Housing Australia,320/133 Droop Street,FOOTSCRAY,VIC,3011,-37.792564,144.89342,1.0,Studio,Studio,False,0.0,False,0.74,2.48,0.31,1.12,0.47,1.424,Middle Footscray Railway Station (Footscray)
10982508,elite,500,False,Stephanie Hristovski,Trimson Partners,7/20 Moore Street,FOOTSCRAY,VIC,3011,-37.796364,144.90382,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.56,3.63,0.92,0.81,0.77,0.959,Footscray Railway Station (Footscray)
11777535,elite,360,False,Huey Lim,Student Housing Australia,14/117-119 Ballarat Road,FOOTSCRAY,VIC,3011,-37.793148,144.89545,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.54,2.66,0.2,1.3,0.27,1.514,Middle Footscray Railway Station (Footscray)
11791808,elite,360,False,Huey Lim,Student Housing Australia,18/117-119 Ballarat Road,FOOTSCRAY,VIC,3011,-37.793148,144.89545,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.54,2.66,0.2,1.3,0.27,1.514,Middle Footscray Railway Station (Footscray)
11791825,elite,360,True,Huey Lim,Student Housing Australia,19/117-119 Ballarat Road,FOOTSCRAY,VIC,3011,-37.793148,144.89545,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.54,2.66,0.2,1.3,0.27,1.514,Middle Footscray Railway Station (Footscray)
11820570,elite,360,True,Huey Lim,Student Housing Australia,38/117-119 Ballarat Road,FOOTSCRAY,VIC,3011,-37.793148,144.89545,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.54,2.66,0.2,1.3,0.27,1.514,Middle Footscray Railway Station (Footscray)
12062246,elite,360,False,Huey Lim,Student Housing Australia,36/117-119 Ballarat Road,FOOTSCRAY,VIC,3011,-37.793148,144.89545,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,0.54,2.66,0.2,1.3,0.27,1.514,Middle Footscray Railway Station (Footscray)
14071539,elite,485,False,Cassie Favero,Jas Stephens Real Estate,16 Latrobe Street,FOOTSCRAY,VIC,3011,-37.797333,144.889,1.0,House,House,False,0.0,False,1.25,2.86,0.54,0.52,0.27,0.858,West Footscray Railway Station (West Footscray)
17110151,elite,400,False,"Denisa Rubinic, Rentals Sunshine",Bells Real Estate Sunshine,7/14 Elderidge Street,FOOTSCRAY,VIC,3011,-37.789864,144.893,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.13,2.17,0.26,1.29,0.09,1.927,Middle Footscray Railway Station (Footscray)
