SA2 code,SA2 name,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile
203021039,Geelong,1044.7816084,335.0,7.0,65.0,13504.0,953.2125398,99.0,2.0,20.0
203021040,Geelong West - Hamlyn Heights,1038.4204804,325.0,7.0,63.0,21200.0,978.9402247,162.0,4.0,32.0
203021042,Highton,1076.8545161,382.0,8.0,74.0,24034.0,1060.004755,408.0,8.0,80.0
203021043,Lara,964.20079621,154.0,3.0,30.0,20817.0,1042.083219,358.0,7.0,70.0
203021044,Leopold,964.2653387,155.0,3.0,30.0,13272.0,1029.268319,314.0,7.0,62.0
203021045,Newcomb - Moolap,888.23930343,16.0,1.0,4.0,15462.0,927.4360049,57.0,2.0,12.0
203021046,Newtown (Vic.),1098.691003,423.0,9.0,82.0,10445.0,1035.280534,329.0,7.0,65.0
203021047,North Geelong - Bell Park,955.68041999,135.0,3.0,27.0,15795.0,960.1378346,113.0,3.0,22.0
203021485,Charlemont,1015.218883,281.0,6.0,55.0,10300.0,1038.168827,344.0,7.0,67.0
203021486,Corio - Lovely Banks,847.22182203,4.0,1.0,1.0,18325.0,908.902676,38.0,1.0,8.0
203021487,Grovedale - Mount Duneed,1002.8622436,251.0,5.0,49.0,24763.0,1017.710825,279.0,6.0,55.0
203021488,Norlane,826.04110797,1.0,1.0,1.0,9051.0,805.3667391,5.0,1.0,1.0
203031048,Clifton Springs,962.53963708,151.0,3.0,30.0,16797.0,1018.381229,280.0,6.0,55.0
203031049,Lorne - Anglesea,1079.2195483,389.0,8.0,76.0,6234.0,1039.547606,348.0,7.0,68.0
203031051,Portarlington,975.20583496,177.0,4.0,35.0,9536.0,993.4971156,198.0,4.0,39.0
203031052,Point Lonsdale - Queenscliff,1085.2512197,407.0,8.0,79.0,5519.0,1035.575503,331.0,7.0,65.0
203031053,Torquay,1086.8388527,410.0,8.0,80.0,24607.0,1086.513001,472.0,10.0,92.0
203031489,Barwon Heads - Armstrong Creek,1071.1495355,375.0,8.0,73.0,11333.0,1066.009165,428.0,9.0,84.0
203031490,Ocean Grove,1056.3546392,352.0,7.0,69.0,19394.0,1061.440548,413.0,9.0,81.0
204011054,Alexandra,953.4336781,132.0,3.0,26.0,6828.0,983.7825312,173.0,4.0,34.0
204011055,Euroa,971.70121798,169.0,4.0,33.0,6922.0,976.1261163,151.0,3.0,30.0
204011056,Kilmore - Broadford,940.3412715,102.0,2.0,20.0,15563.0,1023.922902,298.0,6.0,58.0
204011057,Mansfield (Vic.),982.63524771,195.0,4.0,38.0,10517.0,1018.904261,282.0,6.0,55.0
204011058,Nagambie,956.04161256,136.0,3.0,27.0,4537.0,999.0468719,215.0,5.0,42.0
204011059,Seymour,883.60833036,12.0,1.0,3.0,6569.0,912.7079974,40.0,1.0,8.0
204011060,Seymour Surrounds,997.78393021,237.0,5.0,46.0,4645.0,1048.032747,381.0,8.0,75.0
204011061,Upper Yarra Valley,925.3460314,68.0,2.0,14.0,238.0,953.1347132,98.0,2.0,20.0
204011062,Yea,973.85305202,173.0,4.0,34.0,4182.0,1000.606526,226.0,5.0,44.0
204021063,Benalla,925.88061452,69.0,2.0,14.0,10822.0,949.8510801,91.0,2.0,18.0
204021064,Benalla Surrounds,990.09514778,213.0,5.0,42.0,3781.0,1042.013059,355.0,7.0,70.0
204021065,Rutherglen,939.9700183,101.0,2.0,20.0,4047.0,1001.176779,230.0,5.0,45.0
204021066,Wangaratta,941.01324269,103.0,2.0,20.0,19882.0,957.432272,103.0,3.0,21.0
204021067,Wangaratta Surrounds,996.37776954,235.0,5.0,46.0,9925.0,1048.173339,382.0,8.0,75.0
204031068,Beechworth,1036.6143766,320.0,7.0,62.0,4986.0,1015.260876,268.0,6.0,53.0
204031069,Bright - Mount Beauty,1020.5813094,293.0,6.0,57.0,8903.0,1010.805406,256.0,5.0,50.0
204031070,Chiltern - Indigo Valley,939.85754405,100.0,2.0,20.0,3184.0,1033.729015,321.0,7.0,63.0
204031071,Myrtleford,941.23795613,105.0,3.0,21.0,4745.0,988.9920413,188.0,4.0,37.0
204031072,Towong,969.861632,166.0,4.0,33.0,6196.0,1006.080069,243.0,5.0,48.0
204031073,West Wodonga,924.49527894,67.0,2.0,13.0,15396.0,973.1565485,146.0,3.0,29.0
204031075,Yackandandah,1025.8700306,304.0,6.0,59.0,5221.0,1069.405378,436.0,9.0,85.0
