STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
40220,-37.638231,Roxburgh Park Railway Station (Roxburgh Park),144.935404,2,Craigieburn,POINT (317837.5088903863 5832319.492601642)
40221,-37.601817,Craigieburn Railway Station (Craigieburn),144.94332,2,Craigieburn,POINT (318447.4578237907 5836375.457973229)
44817,-37.661003,Coolaroo Railway Station (Coolaroo),144.926056,2,Craigieburn,POINT (317068.5411017955 5829774.420429475)
45793,-38.057341,Lynbrook Railway Station (Lynbrook),145.249275,2,Cranbourne,POINT (346405.4654797063 5786377.491482555)
45794,-38.07129,Cardinia Road Railway Station (Pakenham),145.437791,2,Pakenham,POINT (362971.48995749705 5785124.52092476)
45795,-37.649159,South Morang Railway Station (South Morang),145.067032,2,Mernda,POINT (329477.46529796306 5831354.446143894)
46468,-37.869865,Williams Landing Railway Station (Williams Landing),144.747445,2,Werribee,POINT (301870.5114268756 5806233.5092932265)
52095,-37.958756,Southland Railway Station (Cheltenham),145.049121,2,Frankston,POINT (328614.502578791 5796967.43329169)
52159,-37.644061,Middle Gorge Railway Station (South Morang),145.092144,2,Mernda,POINT (331681.48612281133 5831965.50823555)
52160,-37.622995,Hawkstowe Railway Station (South Morang),145.097396,2,Mernda,POINT (332097.47493517277 5834312.417707114)
52161,-37.602548,Mernda Railway Station (Mernda),145.100885,2,Mernda,POINT (332359.5026328318 5836587.466463318)
15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,POINT (298792.44702191313 5833123.41712413)
19827,-38.374235,Stony Point Railway Station (Crib Point),145.221837,2,Stony Point,POINT (344673.45318007906 5751166.414619851)
19828,-38.366123,Crib Point Railway Station (Crib Point),145.204043,2,Stony Point,POINT (343101.4545988183 5752036.505744735)
19829,-38.354033,Morradoo Railway Station (Crib Point),145.189602,2,Stony Point,POINT (341813.4385077909 5753353.507177892)
19830,-38.33739,Bittern Railway Station (Bittern),145.178027,2,Stony Point,POINT (340765.5178119339 5755180.504666652)
19831,-38.305659,Hastings Railway Station (Hastings),145.18598,2,Stony Point,POINT (341391.4975900559 5758715.419507937)
19832,-38.259815,Tyabb Railway Station (Tyabb),145.186401,2,Stony Point,POINT (341328.50090372853 5763803.464909837)
19833,-38.225342,Somerville Railway Station (Somerville),145.176245,2,Stony Point,POINT (340364.4871848659 5767611.466201885)
19834,-38.194043,Baxter Railway Station (Baxter),145.160526,2,Stony Point,POINT (338919.4683941066 5771057.470553249)
19835,-37.859308,Glen Iris Railway Station (Glen Iris),145.058225,1,Glen Waverley,POINT (329184.5024586809 5808019.514255619)
19836,-38.152034,Leawarra Railway Station (Frankston),145.139534,2,Stony Point,POINT (336987.4819609917 5775682.46769911)
19837,-37.868957,Darling Railway Station (Malvern East),145.062951,"1,2",Glen Waverley,POINT (329622.5180325493 5806957.452181066)
19838,-37.87693,East Malvern Railway Station (Malvern East),145.069393,"1,2",Glen Waverley,POINT (330207.4885309982 5806084.469498157)
19839,-37.874402,Holmesglen Railway Station (Malvern East),145.090662,"1,2",Glen Waverley,POINT (332072.4968536378 5806403.492756873)
19840,-37.873603,Jordanville Railway Station (Mount Waverley),145.11209,2,Glen Waverley,POINT (333955.4783489867 5806530.513083442)
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (320045.4986864452 5813078.508389601)
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (320651.5276649339 5813318.45011123)
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (321562.5139571313 5813214.480516498)
19844,-37.909102,Belgrave Railway Station (Belgrave),145.355291,2,Belgrave,POINT (355416.45908723574 5802996.481053978)
19845,-37.908118,Tecoma Railway Station (Tecoma),145.342995,2,Belgrave,POINT (354333.5386444414 5803086.52234531)
19846,-37.903691,Upwey Railway Station (Upwey),145.331333,2,Belgrave,POINT (353299.453540623 5803559.465053448)
19847,-37.86832,Alamein Railway Station (Ashburton),145.079656,1,Alamein,POINT (331090.50503280805 5807058.514434347)
19848,-37.861968,Ashburton Railway Station (Ashburton),145.081344,1,Alamein,POINT (331224.503010507 5807766.421041351)
19849,-37.851563,Burwood Railway Station (Glen Iris),145.080511,1,Alamein,POINT (331127.4697350034 5808919.502355184)
19850,-37.843985,Hartwell Railway Station (Camberwell),145.07556,1,Alamein,POINT (330674.5377703598 5809751.424593974)
19851,-37.835716,Willison Railway Station (Camberwell),145.070298,1,Alamein,POINT (330192.530717709 5810659.436501926)
19852,-37.831505,Riversdale Railway Station (Camberwell),145.069646,1,Alamein,POINT (330125.4951313487 5811125.513885504)
19853,-37.826567,Camberwell Railway Station (Camberwell),145.058697,1,"Belgrave,Lilydale,Alamein",POINT (329150.47594458004 5811653.484167566)
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",POINT (321056.45963497984 5812398.484810457)
19855,-38.14299,Frankston Railway Station (Frankston),145.126162,2,"Stony Point,Frankston",POINT (335795.46765980136 5776662.476187935)
19856,-38.121742,Kananook Railway Station (Seaford),145.135295,2,Frankston,POINT (336548.45024379494 5779036.473174062)
19857,-38.104021,Seaford Railway Station (Seaford),145.12823,2,Frankston,POINT (335889.4452103913 5780990.473949869)
19858,-38.076504,Carrum Railway Station (Carrum),145.122833,2,Frankston,POINT (335354.4957791293 5784034.423412768)
19859,-38.062945,Bonbeach Railway Station (Bonbeach),145.11968,2,Frankston,POINT (335047.44307829184 5785533.445523632)
19860,-38.051955,Chelsea Railway Station (Chelsea),145.116041,2,Frankston,POINT (334703.46211400675 5786746.511331167)
19861,-38.038056,Edithvale Railway Station (Edithvale),145.108536,2,Frankston,POINT (334013.5397809682 5788275.46899847)
19862,-38.02722,Aspendale Railway Station (Aspendale),145.10215,2,Frankston,POINT (333428.528970425 5789466.488711394)
19863,-38.006583,Mordialloc Railway Station (Mordialloc),145.087659,2,Frankston,POINT (332109.45691589796 5791730.460136923)
19864,-37.993079,Parkdale Railway Station (Parkdale),145.076327,2,Frankston,POINT (331083.4969287851 5793208.452335199)
19865,-37.981865,Mentone Railway Station (Mentone),145.065166,2,Frankston,POINT (330077.48294243775 5794432.516746676)
19866,-37.96665,Cheltenham Railway Station (Cheltenham),145.054558,2,Frankston,POINT (329110.50257630437 5796101.4546090355)
19867,-37.892672,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),145.30753,2,Belgrave,POINT (351184.4829416076 5804744.432328426)
19868,-37.881698,Ferntree Gully Railway Station (Ferntree Gully),145.295251,2,Belgrave,POINT (350082.4549242137 5805942.46110237)
19869,-37.860452,Boronia Railway Station (Boronia),145.284385,2,Belgrave,POINT (349083.4762711555 5808282.443768598)
19870,-37.84173,Bayswater Railway Station (Bayswater),145.268136,2,Belgrave,POINT (347615.45795950014 5810333.468230024)
19871,-37.828322,Heathmont Railway Station (Heathmont),145.244555,2,Belgrave,POINT (345512.45138621755 5811782.496246904)
19872,-37.948425,Highett Railway Station (Highett),145.041872,2,Frankston,POINT (327953.512471471 5798100.46779091)
19873,-37.879504,Glen Waverley Railway Station (Glen Waverley),145.162058,2,Glen Waverley,POINT (338363.53335157107 5805963.474987375)
19874,-37.87623,Syndal Railway Station (Glen Waverley),145.14978,2,Glen Waverley,POINT (337276.4375165781 5806305.425567174)
19875,-37.875255,Mount Waverley Railway Station (Mount Waverley),145.128056,2,Glen Waverley,POINT (335363.51950021996 5806375.494191339)
19876,-37.755518,Lilydale Railway Station (Lilydale),145.34771,2,Lilydale,POINT (354448.47687436605 5820026.43666379)
19877,-37.784749,Mooroolbark Railway Station (Mooroolbark),145.312402,2,Lilydale,POINT (351396.4548584416 5816727.451418141)
19878,-37.795437,Croydon Railway Station (Croydon),145.280598,2,Lilydale,POINT (348617.5234995835 5815490.4646913)
19879,-37.811968,Ringwood East Railway Station (Ringwood East),145.250191,2,Lilydale,POINT (345974.5095550298 5813606.470939856)
19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,POINT (367250.49446564016 5784160.465103154)
19881,-38.066146,Officer Railway Station (Officer),145.410987,2,Pakenham,POINT (360610.45916203345 5785655.431298874)
19882,-38.050831,Beaconsfield Railway Station (Beaconsfield),145.366074,2,Pakenham,POINT (356640.5108093943 5787286.506718612)
19883,-38.040408,Berwick Railway Station (Berwick),145.345726,2,Pakenham,POINT (354834.4883066851 5788411.498528657)
19884,-38.027809,Narre Warren Railway Station (Narre Warren),145.303969,2,Pakenham,POINT (351144.45212957775 5789743.502682883)
19885,-38.01774,Hallam Railway Station (Hallam),145.269777,2,Pakenham,POINT (348122.4968194964 5790805.513408406)
19886,-38.099537,Cranbourne Railway Station (Cranbourne),145.280599,2,Cranbourne,POINT (349240.477640501 5781746.499779687)
19887,-38.079,Merinda Park Railway Station (Cranbourne North),145.263511,2,Cranbourne,POINT (347699.4619164772 5783997.519754611)
19888,-37.989968,Dandenong Railway Station (Dandenong),145.209725,2,"Pakenham,Cranbourne",POINT (342791.4506446189 5793787.453714636)
19889,-37.978255,Yarraman Railway Station (Noble Park),145.1916,2,"Pakenham,Cranbourne",POINT (341174.4666166798 5795056.417463475)
19890,-37.966628,Noble Park Railway Station (Noble Park),145.176325,2,"Pakenham,Cranbourne",POINT (339807.51150458615 5796320.435161888)
19891,-37.956505,Sandown Park Railway Station (Springvale),145.162826,2,"Pakenham,Cranbourne",POINT (338599.49364541867 5797420.425690647)
19892,-37.825894,East Camberwell Railway Station (Camberwell),145.06819,1,"Lilydale,Belgrave",POINT (329984.4548450679 5811745.491344985)
19893,-37.824485,Canterbury Railway Station (Canterbury),145.081224,"1,2","Lilydale,Belgrave",POINT (331128.46942893637 5811925.4841306005)
19894,-37.8243,Chatham Railway Station (Surrey Hills),145.088648,"1,2","Lilydale,Belgrave",POINT (331781.4917241105 5811959.415476011)
19895,-37.824148,Surrey Hills Railway Station (Surrey Hills),145.098775,"1,2","Lilydale,Belgrave",POINT (332672.52774235373 5811994.47681624)
19896,-37.819427,Mont Albert Railway Station (Mont Albert),145.10553,"1,2","Lilydale,Belgrave",POINT (333256.4718092565 5812530.413554855)
19897,-37.82078,Laburnum Railway Station (Blackburn),145.140703,2,"Lilydale,Belgrave",POINT (336355.50138446316 5812442.493249096)
19898,-37.820071,Blackburn Railway Station (Blackburn),145.150014,2,"Lilydale,Belgrave",POINT (337173.52072426194 5812537.441710338)
19899,-37.820428,Nunawading Railway Station (Nunawading),145.175237,2,"Lilydale,Belgrave",POINT (339394.49688402365 5812541.4971865695)
19900,-37.818087,Mitcham Railway Station (Mitcham),145.192892,2,"Lilydale,Belgrave",POINT (340943.5123322153 5812831.47158836)
19901,-37.818835,Heatherdale Railway Station (Ringwood),145.21355,2,"Lilydale,Belgrave",POINT (342763.5021237389 5812783.4494597055)
19902,-37.81566,Ringwood Railway Station (Ringwood),145.229474,2,"Lilydale,Belgrave",POINT (344158.5306359023 5813162.443135548)
19903,-37.822398,Auburn Railway Station (Hawthorn East),145.045844,1,"Belgrave,Lilydale,Alamein",POINT (328009.5139267731 5812092.5007783985)
19904,-37.821467,Glenferrie Railway Station (Hawthorn),145.036439,1,"Belgrave,Lilydale,Alamein",POINT (327179.498658053 5812178.452491166)
19905,-37.821826,Hawthorn Railway Station (Hawthorn),145.022899,1,"Belgrave,Lilydale,Alamein",POINT (325988.51611279557 5812113.473192991)
19906,-37.82756,Burnley Railway Station (Burnley),145.007555,1,"Belgrave,Glen Waverley,Lilydale,Alamein",POINT (324651.4819416971 5811448.497499655)
19907,-37.8264,East Richmond Railway Station (Richmond),144.997066,1,"Belgrave,Glen Waverley,Lilydale,Alamein",POINT (323725.5266225528 5811557.469990018)
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,"Belgrave,Cranbourne,Frankston,Glen Waverley,Lilydale,Pakenham,Sandringham,Alamein",POINT (323112.4828956742 5811802.520586449)
